Municipio,Homens,Mulheres
Sao Paulo,5323385,5920984
Guarulhos,595403,626954
Campinas,521209,559790
Sao Jose dos Campos,307394,320150
Osasco,320268,346201
Sorocaba,286798,299513
Sao Bernardo do Campo,369489,395714
Santos,192056,227701
Jundiai,180102,190149
Diadema,186752,199287
Ribeirao Preto,290286,314828
Maua,204180,213101
Belford Roxo,226757,242504
Nova Iguacu,381198,414014
Campos dos Goytacazes,223100,240445
Duque de Caxias,410959,444087
Sao Joao de Meriti,218391,240965
Sao Goncalo,475336,524565
Rio de Janeiro,2960954,3362083
Niteroi,225671,261656
Belo Horizonte,1113654,1261790
Contagem,292628,310420
Uberlandia,293115,307170
Betim,186104,191443
Juiz de Fora,244932,272940
Curitiba,832500,914396
Caxias do Sul,213547,221935
Porto Alegre,654022,755917
Florianopolis,203093,218110
Joinville,255763,259487
Serra,201407,207917
Jaboatao dos Guararapes,304840,339859
Olinda,173654,201905
Recife,709063,827871
Campina Grande,182249,203027
Joao Pessoa,337745,385769
Brasilia,1225237,1337726
Campo Grande,381544,405660
Goiania,620816,681076
Maceio,436405,496203
Salvador,1249301,1427305
Fortaleza,1145799,1301610
Aracaju,265321,305616
Macapa,195497,202416
Ananindeua,226537,245207
Manaus,879893,922632
Aparecida de Goiania,224841,230894
Cariacica,169982,178951
Feira de Santana,264031,292725
Londrina,243017,263628
Mogi das Cruzes,188658,198583
Montes Claros,174281,187690
Piracicaba,178538,186334
Porto Velho,215561,210997
Santo Andre,323208,350706
Sao Luis,473762,538181
Teresina,380693,433746
Vila Velha,199083,215337
Belem,658188,733843
Natal,378004,425807